run_id,dataset,norm,policy,n_views,delta_accuracy,ci_low,ci_high,ci_excludes_zero,mcnemar_p,harm_rate,rescue_rate,mixed_delta_accuracy,ece,nll,brier,n_samples
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,batchnorm,geometric,25,-0.15128504672897192,-0.17056074766355145,-0.1320093457943925,True,2.6867151333796497e-47,0.17643467643467645,0.40540540540540543,-0.4982476635514019,0.024606483736049352,0.7631368637084961,0.2898819148540497,1712
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,batchnorm,geometric,50,-0.14778037383177567,-0.1670560747663551,-0.12850467289719625,True,9.347228640212537e-46,0.17338217338217338,0.4189189189189189,-0.5,0.020082446563745193,0.7552505731582642,0.28852415084838867,1712
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,batchnorm,intensity,25,-0.3066588785046729,-0.33060747663551404,-0.28212616822429903,True,2.3124776619286323e-101,0.3437118437118437,0.5135135135135135,-0.4982476635514019,0.09757817112710152,0.913780927658081,0.4707891643047333,1712
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,batchnorm,intensity,50,-0.27978971962616817,-0.3037383177570093,-0.2558411214953271,True,7.476797252650328e-92,0.315018315018315,0.5,-0.5,0.13084168586810338,0.8962634801864624,0.46093329787254333,1712
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,groupnorm,geometric,25,-0.1460280373831776,-0.1658878504672897,-0.12675233644859818,True,1.6041143589690224e-43,0.1770512029611351,0.4065934065934066,-0.2079439252336449,0.03455630385221166,0.5666936635971069,0.2832271456718445,1712
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,groupnorm,geometric,50,-0.1460280373831776,-0.16530373831775702,-0.12675233644859807,True,9.219294548268466e-43,0.17890191239975323,0.43956043956043955,-0.20560747663551404,0.026032585650682474,0.564668595790863,0.2827731966972351,1712
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,groupnorm,intensity,25,-0.08644859813084116,-0.10163551401869164,-0.07126168224299068,True,4.3462243984779494e-27,0.10302282541640963,0.2087912087912088,-0.2079439252336449,0.23235135964144055,0.617031991481781,0.2944466173648834,1712
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,groupnorm,intensity,50,-0.0771028037383178,-0.09170560747663548,-0.06308411214953269,True,1.4645184689243704e-24,0.09130166563849476,0.17582417582417584,-0.20560747663551404,0.2470913136325707,0.6147082448005676,0.2903026044368744,1712
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,groupnorm,geometric,25,-0.1740654205607477,-0.1945093457943925,-0.1542056074766356,True,2.3706941069306506e-54,0.20711166562694946,0.3119266055045872,-0.23773364485981308,0.040890644591684656,0.7476032972335815,0.33842211961746216,1712
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,groupnorm,geometric,50,-0.16880841121495327,-0.18925233644859818,-0.14894859813084105,True,3.5330463036029745e-52,0.20212102308172178,0.3211009174311927,-0.22429906542056077,0.03634694093298688,0.7454532980918884,0.3377321660518646,1712
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,groupnorm,intensity,25,-0.12091121495327106,-0.1384345794392523,-0.1039719626168224,True,5.972957328620595e-39,0.14223331253898938,0.1926605504587156,-0.23773364485981308,0.20836577788169422,0.6954181790351868,0.333407998085022,1712
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,groupnorm,intensity,50,-0.10163551401869164,-0.1185747663551402,-0.08528037383177567,True,1.9546162043934464e-31,0.12289457267623206,0.21100917431192662,-0.22429906542056077,0.23257378255513225,0.6900205612182617,0.327669233083725,1712
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,groupnorm,geometric,25,-0.18457943925233644,-0.20560747663551404,-0.16413551401869153,True,7.507063060145684e-58,0.21841941505911636,0.3333333333333333,-0.26051401869158874,0.03602779407715686,0.8397717475891113,0.3773007392883301,1712
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,groupnorm,geometric,50,-0.18224299065420557,-0.20270151869158867,-0.16179906542056077,True,2.673763454075796e-57,0.21530802738021157,0.3238095238095238,-0.2634345794392523,0.03676309835200554,0.837232768535614,0.3758210837841034,1712
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,groupnorm,intensity,25,-0.09287383177570085,-0.10864485981308414,-0.0771028037383178,True,7.620451818133171e-29,0.11200995644057249,0.2,-0.26051401869158874,0.22499802522361276,0.6510417461395264,0.3092266917228699,1712
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,groupnorm,intensity,50,-0.08002336448598124,-0.09521028037383172,-0.06542056074766356,True,8.615925453113058e-25,0.0970752955818295,0.18095238095238095,-0.2634345794392523,0.24179382027762236,0.6479997634887695,0.30510711669921875,1712
