run_id,dataset,n_views,anchored_delta_accuracy,anchored_harm_rate,anchored_rescue_rate,anchored_accuracy
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,1,0.015200233849751554,0.03022932592077832,0.2559852670349908,0.8564747149956153
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,2,0.013154048523823403,0.04169562195969423,0.30386740331491713,0.8544285296696872
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,5,0.015200233849751554,0.048992355802640726,0.35543278084714547,0.8564747149956153
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,10,0.0105232388190587,0.05559416261292564,0.36095764272559855,0.8517977199649225
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,25,0.013738672902660065,0.056636553161918,0.3867403314917127,0.8550131540485238
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,50,0.011692487576731914,0.05906879777623349,0.3867403314917127,0.8529669687225957
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,100,0.01344636071324179,0.05837387074357193,0.39410681399631675,0.8547208418591056
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,1,0.018123355743934533,0.01734860883797054,0.31420765027322406,0.9111370944168372
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,2,0.02455422391113704,0.020949263502454993,0.40437158469945356,0.9175679625840397
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,5,0.027769657994738406,0.026513911620294598,0.4808743169398907,0.9207833966676411
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,10,0.029231218941829895,0.02716857610474632,0.5,0.9222449576147326
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,25,0.02952353113124817,0.028477905073649754,0.5136612021857924,0.9225372698041509
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,50,0.029815843320666446,0.029459901800327332,0.5245901639344263,0.9228295819935691
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,100,0.030108155510084722,0.028805237315875615,0.5218579234972678,0.9231218941829874
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s2,bloodmnist,1,0.0014615609470914892,0.02142857142857143,0.20821114369501467,0.9017831043554516
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s2,bloodmnist,2,0.004092370651856192,0.02564935064935065,0.2727272727272727,0.9044139140602163
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s2,bloodmnist,5,0.007307804735457446,0.02792207792207792,0.3255131964809384,0.9076293481438176
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s2,bloodmnist,10,0.00496930722011113,0.03279220779220779,0.3460410557184751,0.9052908506284713
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s2,bloodmnist,25,0.0038000584624379163,0.03409090909090909,0.3460410557184751,0.904121601870798
