run_id,dataset,n_views,bn_vs_naive_ci_high,bn_vs_clean_ci_low,bn_vs_clean_ci_high,bn_vs_naive_ci_low,bn_delta_vs_naive,bn_vs_naive_excludes_zero,bn_vs_clean_excludes_zero,bn_delta_vs_clean
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,2,0.24498607242339832,-0.24470752089136483,-0.21991643454039,0.21699164345403898,0.231058495821727,True,True,-0.23231197771587742
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,5,0.24902506963788296,-0.20793871866295255,-0.1837047353760446,0.22075208913649025,0.2348189415041782,True,True,-0.19582172701949863
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,10,0.2064066852367688,-0.22423398328690813,-0.19999999999999996,0.17910863509749297,0.19261838440111423,True,True,-0.21225626740947068
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,25,0.19038997214484682,-0.2295299442896936,-0.20487465181058495,0.16295264623955436,0.1766016713091922,True,True,-0.21699164345403898
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,50,0.20849582172701947,-0.2105849582172702,-0.1866295264623956,0.1811977715877437,0.1947075208913649,True,True,-0.19874651810584953
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,100,0.1742339832869081,-0.23941504178272988,-0.21462395543175483,0.1469359331476323,0.1604456824512535,True,True,-0.22674094707520887
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,1,0.046769950306927766,0.013154048523823403,0.02893890675241151,0.020754165448699236,0.03390821397252264,True,True,0.02104647763811751
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,2,0.03595439929845068,0.01403098509207834,0.03156971645717621,0.009938614440222149,0.02309266296404555,True,True,0.022800350774627276
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,5,0.026892721426483468,0.012569424144986852,0.03098509207833977,0.0014615609470914892,0.014323297281496727,True,True,0.02192341420637245
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,10,0.026308097047646917,0.01344636071324179,0.03156971645717621,0.0014615609470914892,0.01403098509207834,True,True,0.022508038585209
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,25,0.021338789827535787,0.012569424144986852,0.030692779888921384,-0.0029231218941829784,0.009353990061385486,False,True,0.021631102016954062
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,50,0.02455422391113704,0.013738672902659954,0.032154340836012874,-0.0005846243788366623,0.011692487576731914,False,True,0.022800350774627276
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s0,bloodmnist,100,0.023384975153463827,0.014907921660333168,0.032738965214849536,-0.0014615609470914892,0.010815551008477087,False,True,0.023677287342882214
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,1,0.013446360713241678,-0.002338497515346427,0.009353990061385598,-0.008769365682548935,0.002338497515346316,False,False,0.0035077462730195297
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,2,-0.0052616194095294055,-0.006430868167202619,0.006430868167202619,-0.02689272142648347,-0.01607717041800638,True,False,0.0
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,5,-0.013446360713241678,-0.00847705349313066,0.00496930722011113,-0.03390821397252264,-0.023677287342882214,True,False,-0.0014615609470914892
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,10,-0.01900029231218947,-0.007600116924875833,0.005846243788365957,-0.03946214557147032,-0.029231218941829895,True,False,-0.0008769365682549379
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,25,-0.018707980122771084,-0.007600116924875833,0.005846243788365957,-0.039169833382052044,-0.02893890675241162,True,False,-0.0008769365682549379
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,50,-0.020169541069862573,-0.007307804735457446,0.0061385559777842325,-0.04005407775504237,-0.030108155510084833,True,False,-0.0005846243788366623
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s1,bloodmnist,100,-0.019584916691026022,-0.006723180356620895,0.006723180356620895,-0.039754457760888595,-0.02952353113124817,True,False,0.0
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s2,bloodmnist,1,0.02396959953230049,-0.004676995030692854,0.008769365682548939,0.0029231218941829784,0.013446360713241678,True,False,0.0020461853259280405
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s2,bloodmnist,2,0.012569424144986852,-0.007600116924875833,0.00701549254603917,-0.008184741303712384,0.0020461853259281515,False,False,-0.00029231218941827564
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s2,bloodmnist,5,0.004092370651856192,-0.012277111955568576,0.0038000584624378053,-0.01695410698626132,-0.006430868167202508,False,False,-0.004384682841274468
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s2,bloodmnist,10,0.004969307220111019,-0.010230926629640535,0.005553931598947681,-0.01607717041800638,-0.005553931598947681,False,False,-0.002338497515346427
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s2,bloodmnist,25,0.004676995030692743,-0.011107863197895362,0.004676995030692746,-0.016369482607424768,-0.005846243788365957,False,False,-0.003215434083601254
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s2,bloodmnist,50,0.0038000584624379163,-0.011107863197895362,0.004676995030692854,-0.01695410698626132,-0.006723180356620895,False,False,-0.003215434083601254
B-bloodmnist-28px-batchnorm-policy-matched_mixed-s2,bloodmnist,100,0.0052616194095294055,-0.009353990061385598,0.0061385559777843435,-0.01549254603916983,-0.0052616194095294055,False,False,-0.0014615609470914892
B-pathmnist-28px-batchnorm-policy-matched_mixed-s0,pathmnist,1,-0.004456824512534818,-0.07883008356545951,-0.06253481894150426,-0.029387186629526444,-0.01699164345403903,True,True,-0.07075208913649023
B-pathmnist-28px-batchnorm-policy-matched_mixed-s0,pathmnist,2,-0.037186629526462456,-0.08593314763231197,-0.06908077994428974,-0.06169916434540379,-0.04930362116991638,True,True,-0.07757660167130909
B-pathmnist-28px-batchnorm-policy-matched_mixed-s0,pathmnist,5,-0.04387186629526463,-0.08635097493036215,-0.0697771587743733,-0.0681058495821727,-0.05598885793871866,True,True,-0.07813370473537595
B-pathmnist-28px-batchnorm-policy-matched_mixed-s0,pathmnist,10,-0.04874651810584962,-0.08509749303621172,-0.06893802228412257,-0.07256267409470751,-0.061002785515320346,True,True,-0.07674094707520884
B-pathmnist-28px-batchnorm-policy-matched_mixed-s0,pathmnist,25,-0.053339136490250655,-0.08523676880222841,-0.06880222841225625,-0.07701949860724233,-0.06504178272980499,True,True,-0.07688022284122553
B-pathmnist-28px-batchnorm-policy-matched_mixed-s0,pathmnist,50,-0.05362116991643462,-0.08635097493036215,-0.06991643454038998,-0.07799442896935938,-0.06587743732590523,True,True,-0.07799442896935926
B-pathmnist-28px-batchnorm-policy-matched_mixed-s0,pathmnist,100,-0.05334261838440113,-0.08314763231197764,-0.06699164345403896,-0.07674094707520895,-0.06504178272980499,True,True,-0.07493036211699156
